step,norm_0,rank_0,norm_1,rank_1,norm_2,rank_2,norm_3,rank_3,norm_4,rank_4,norm_5,rank_5
0,3.3162596225738525,22.364242553710938,4.629008769989014,62.13916015625,6.527934551239014,124.23572540283203,9.242121696472168,248.37596130371094,13.05910873413086,496.7289733886719,1.8251317739486694,9.999449729919434
1,3.312731981277466,22.353904724121094,4.621501445770264,62.13483428955078,6.5180463790893555,124.23898315429688,9.227758407592773,248.36672973632812,13.038875579833984,496.67376708984375,1.8272430896759033,9.986990928649902
2,3.3088271617889404,22.350021362304688,4.615090847015381,62.1300048828125,6.509192943572998,124.24211883544922,9.213908195495605,248.34979248046875,13.018866539001465,496.4864807128906,1.8211339712142944,9.989418029785156
3,3.305696725845337,22.347187042236328,4.6095051765441895,62.12532424926758,6.501288890838623,124.23880004882812,9.20118522644043,248.26608276367188,13.000143051147461,496.0458679199219,1.8471096754074097,9.978418350219727
4,3.303025484085083,22.344810485839844,4.6044230461120605,62.120643615722656,6.494290828704834,124.22908782958984,9.189166069030762,248.11602783203125,12.982190132141113,495.5080261230469,1.88864004611969,9.95677375793457
5,3.300694465637207,22.342742919921875,4.599714279174805,62.115638732910156,6.488148212432861,124.21220397949219,9.17782211303711,247.91604614257812,12.964755058288574,494.9488525390625,1.939267635345459,9.924933433532715
6,3.298602819442749,22.341054916381836,4.595268249511719,62.109981536865234,6.482345104217529,124.18952178955078,9.166834831237793,247.68869018554688,12.947668075561523,494.3763732910156,1.991751790046692,9.885992050170898
7,3.296699047088623,22.339595794677734,4.591017723083496,62.10417938232422,6.476656913757324,124.16246032714844,9.156048774719238,247.451171875,12.930964469909668,493.79302978515625,2.0440011024475098,9.845293045043945
8,3.2949111461639404,22.33826446533203,4.586855888366699,62.098018646240234,6.470888614654541,124.13280487060547,9.145312309265137,247.22108459472656,12.914405822753906,493.2082824707031,2.08894944190979,9.811868667602539
9,3.2932114601135254,22.33687973022461,4.582769870758057,62.091651916503906,6.4651055335998535,124.10167694091797,9.134598731994629,246.9995574951172,12.898029327392578,492.6253662109375,2.1272969245910645,9.785473823547363
10,3.2916007041931152,22.335569381713867,4.578763961791992,62.08519744873047,6.4593634605407715,124.06948852539062,9.123948097229004,246.7855224609375,12.881749153137207,492.0487976074219,2.160539150238037,9.765751838684082
11,3.290074348449707,22.334280014038086,4.5748419761657715,62.0787467956543,6.453681468963623,124.03642272949219,9.113368034362793,246.5776824951172,12.865588188171387,491.4778137207031,2.1890480518341064,9.749662399291992
12,3.2886180877685547,22.3331356048584,4.57098913192749,62.07229232788086,6.448058128356934,124.00300598144531,9.102856636047363,246.3765869140625,12.849498748779297,490.91241455078125,2.2145462036132812,9.736209869384766
13,3.287222146987915,22.332246780395508,4.567202091217041,62.06595993041992,6.442483425140381,123.96966552734375,9.092398643493652,246.18234252929688,12.833483695983887,490.3546447753906,2.2382168769836426,9.723101615905762
14,3.285879373550415,22.331462860107422,4.563467025756836,62.0598030090332,6.436952114105225,123.93656158447266,9.08198356628418,245.99472045898438,12.817519187927246,489.8043212890625,2.2610232830047607,9.710172653198242
15,3.284580945968628,22.330772399902344,4.559770584106445,62.05382537841797,6.431446552276611,123.90388488769531,9.071598052978516,245.81414794921875,12.8015718460083,489.2634582519531,2.283503532409668,9.697343826293945
16,3.283323049545288,22.33013153076172,4.556109428405762,62.04817581176758,6.425965785980225,123.8720474243164,9.061249732971191,245.6402587890625,12.785665512084961,488.7325439453125,2.3050801753997803,9.683728218078613
17,3.2821085453033447,22.329444885253906,4.552485466003418,62.043113708496094,6.420513153076172,123.84056854248047,9.050911903381348,245.47515869140625,12.769782066345215,488.2107849121094,2.3232696056365967,9.66910171508789
18,3.280935287475586,22.328683853149414,4.548912525177002,62.03855895996094,6.415118217468262,123.80963134765625,9.040617942810059,245.31788635253906,12.753910064697266,487.70098876953125,2.3395462036132812,9.654143333435059
19,3.2797975540161133,22.328088760375977,4.545377731323242,62.034271240234375,6.40975284576416,123.77922821044922,9.030341148376465,245.1671600341797,12.738085746765137,487.2052001953125,2.3548007011413574,9.639485359191895
